id,state_name,constituency_name,state_name_dm,constituency_name_dm
309,Rajasthan-S20,Pali,rajasthan,pali
310,Rajasthan-S20,Jodhpur,rajasthan,jodhpur
311,Rajasthan-S20,Barmer,rajasthan,barmer
312,Rajasthan-S20,Jalore,rajasthan,jalore
313,Rajasthan-S20,Udaipur,rajasthan,udaipur
314,Rajasthan-S20,Banswara,rajasthan,banswara
315,Rajasthan-S20,Chittorgarh,rajasthan,chittorgarh
316,Rajasthan-S20,Rajsamand,rajasthan,rajsamand
317,Rajasthan-S20,Bhilwara,rajasthan,bhilwara
318,Rajasthan-S20,Kota,rajasthan,kota
319,Rajasthan-S20,JHALAWAR-BARAN,rajasthan,jhalawar-baran
320,Sikkim-S21,Sikkim,sikkim,sikkim
321,Tamil Nadu-S22,Thiruvallur,tamil nadu,thiruvallur
322,Tamil Nadu-S22,Chennai North,tamil nadu,chennai north
323,Tamil Nadu-S22,Chennai South,tamil nadu,chennai south
324,Tamil Nadu-S22,Chennai central,tamil nadu,chennai central
325,Tamil Nadu-S22,Sriperumbudur,tamil nadu,sriperumbudur
326,Tamil Nadu-S22,Kancheepuram,tamil nadu,kancheepuram
327,Tamil Nadu-S22,Arakkonam,tamil nadu,arakkonam
328,Tamil Nadu-S22,Vellore,tamil nadu,vellore
329,Tamil Nadu-S22,Krishnagiri,tamil nadu,krishnagiri
330,Tamil Nadu-S22,Dharmapuri,tamil nadu,dharmapuri
331,Tamil Nadu-S22,Tiruvannamalai,tamil nadu,tiruvannamalai
332,Tamil Nadu-S22,Arani,tamil nadu,arani
333,Tamil Nadu-S22,Viluppuram,tamil nadu,viluppuram
334,Tamil Nadu-S22,Kallakurichi,tamil nadu,kallakurichi
335,Tamil Nadu-S22,Salem,tamil nadu,salem
336,Tamil Nadu-S22,Namakkal,tamil nadu,namakkal
337,Tamil Nadu-S22,Erode,tamil nadu,erode
338,Tamil Nadu-S22,Tiruppur,tamil nadu,tiruppur
339,Tamil Nadu-S22,Nilgiris,tamil nadu,nilgiris
340,Tamil Nadu-S22,Coimbatore,tamil nadu,coimbatore
341,Tamil Nadu-S22,Pollachi,tamil nadu,pollachi
342,Tamil Nadu-S22,Dindigul,tamil nadu,dindigul
343,Tamil Nadu-S22,Karur,tamil nadu,karur
344,Tamil Nadu-S22,Tiruchirappalli,tamil nadu,tiruchirappalli
345,Tamil Nadu-S22,Perambalur,tamil nadu,perambalur
346,Tamil Nadu-S22,Cuddalore,tamil nadu,cuddalore
347,Tamil Nadu-S22,Chidambaram,tamil nadu,chidambaram
348,Tamil Nadu-S22,Mayiladuthurai,tamil nadu,mayiladuturai
349,Tamil Nadu-S22,Nagapattinam,tamil nadu,nagapattinam
350,Tamil Nadu-S22,Thanjavur,tamil nadu,thanjavur
351,Tamil Nadu-S22,Sivaganga,tamil nadu,sivaganga
352,Tamil Nadu-S22,Madurai,tamil nadu,madurai
353,Tamil Nadu-S22,Theni,tamil nadu,theni
354,Tamil Nadu-S22,Virudhunagar,tamil nadu,virudhunagar
355,Tamil Nadu-S22,Ramanathapuram,tamil nadu,ramanathapuram
356,Tamil Nadu-S22,Thoothukkudi,tamil nadu,thoothukudi
357,Tamil Nadu-S22,Tenkasi,tamil nadu,tenkasi
358,Tamil Nadu-S22,Tirunelveli,tamil nadu,tirunelveli
359,Tamil Nadu-S22,Kanniyakumari,tamil nadu,kanyakumari
360,Tripura-S23,Tripura West,tripura,tripura west
361,Tripura-S23,Tripura East,tripura,tripura east
362,Uttar Pradesh-S24,Saharanpur,uttar pradesh,saharanpur
363,Uttar Pradesh-S24,Kairana,uttar pradesh,kairana
364,Uttar Pradesh-S24,Muzaffarnagar,uttar pradesh,muzaffarnagar
365,Uttar Pradesh-S24,Bijnor,uttar pradesh,bijnor
366,Uttar Pradesh-S24,Nagina,uttar pradesh,nagina
367,Uttar Pradesh-S24,Moradabad,uttar pradesh,moradabad
368,Uttar Pradesh-S24,Rampur,uttar pradesh,rampur
369,Uttar Pradesh-S24,Sambhal,uttar pradesh,sambhal
370,Uttar Pradesh-S24,Amroha,uttar pradesh,amroha
371,Uttar Pradesh-S24,Meerut,uttar pradesh,meerut
372,Uttar Pradesh-S24,Baghpat,uttar pradesh,baghpat
373,Uttar Pradesh-S24,Ghaziabad,uttar pradesh,ghaziabad
374,Uttar Pradesh-S24,Gautam Buddha Nagar,uttar pradesh,gautam buddha nagar
375,Uttar Pradesh-S24,Bulandshahr,uttar pradesh,bulandshahr
376,Uttar Pradesh-S24,Aligarh,uttar pradesh,aligarh
377,Uttar Pradesh-S24,Hathras,uttar pradesh,hathras
378,Uttar Pradesh-S24,Mathura,uttar pradesh,mathura
379,Uttar Pradesh-S24,Agra,uttar pradesh,agra
380,Uttar Pradesh-S24,Fatehpur Sikri,uttar pradesh,fatehpur sikri
381,Uttar Pradesh-S24,Firozabad,uttar pradesh,firozabad
382,Uttar Pradesh-S24,Mainpuri,uttar pradesh,mainpuri
383,Uttar Pradesh-S24,Etah,uttar pradesh,etah
