state_name,constituency_name,sheet,elector_General_m,elector_General_w,voter_General_m,voter_General_w,candidate_Contested_m,candidate_Contested_w,voter_POLLING PERCENTAGE_total,result_margin,votes_Total Valid Votes Polled,state_name_updated,constituency_name_updated,constituency_type_updated,country,id
Karnataka-S10,Dharwad-GEN,S10-11,875491,849758,640913,569597,18,1,70.25,205072,1209993,Karnataka,Dharwad,GEN,IN,140
Karnataka-S10,Uttara Kannada-GEN,S10-12,786411,766050,591099,559157,11,2,74.1,479649,1137463,Karnataka,Uttara Kannada,GEN,IN,141
Karnataka-S10,Davanagere-GEN,S10-13,822593,809744,617489,574795,25,0,73.15,169702,1191488,Karnataka,Davanagere,GEN,IN,142
Karnataka-S10,Shimoga-GEN,S10-14,831183,844743,641691,640582,12,0,76.56,223360,1276709,Karnataka,Shimoga,GEN,IN,143
Karnataka-S10,Udupi Chikmagalur-GEN,S10-15,738389,774623,563331,585784,11,1,76.03,349599,1143502,Karnataka,Udupi Chikmagalur,GEN,IN,144
Karnataka-S10,Hassan-GEN,S10-16,831698,819073,644500,629935,6,0,77.29,141324,1265890,Karnataka,Hassan,GEN,IN,145
Karnataka-S10,Dakshina Kannada-GEN,S10-17,845217,879018,653558,689629,13,0,77.97,274621,1337659,Karnataka,Dakshina Kannada,GEN,IN,146
Karnataka-S10,Chitradurga-SC,S10-18,889236,870772,639390,603639,19,0,70.77,80178,1241582,Karnataka,Chitradurga,SC,IN,147
Karnataka-S10,Tumkur-GEN,S10-19,803006,804874,630450,611065,13,2,77.39,13339,1234563,Karnataka,Tumkur,GEN,IN,148
Karnataka-S10,Mandya-GEN,S10-20,854753,856282,695384,680954,18,4,80.56,125876,1375684,Karnataka,Mandya,GEN,IN,149
Karnataka-S10,Mysore-GEN,S10-21,944585,949649,664932,647532,19,3,69.5,138647,1312695,Karnataka,Mysore,GEN,IN,150
Karnataka-S10,Chamarajanagar-SC,S10-22,842742,843167,646902,620802,10,0,75.35,1817,1257942,Karnataka,Chamarajanagar,SC,IN,151
Karnataka-S10,Bangalore Rural-GEN,S10-23,1287524,1209276,831105,789254,14,1,64.94,206870,1609452,Karnataka,Bangalore Rural,GEN,IN,152
Karnataka-S10,Bangalore North-GEN,S10-24,1481421,1366690,805444,750147,30,1,54.73,147518,1547827,Karnataka,Bangalore North,GEN,IN,153
Karnataka-S10,Bangalore central-GEN,S10-25,1145820,1058214,621875,572763,21,1,54.3,70968,1186474,Karnataka,Bangalore central,GEN,IN,154
Karnataka-S10,Bangalore South-GEN,S10-26,1153458,1061593,616311,568793,24,1,53.64,331192,1178553,Karnataka,Bangalore South,GEN,IN,155
Karnataka-S10,Chikkballapur-GEN,S10-27,910472,897681,706576,678457,12,3,76.68,182110,1378938,Karnataka,Chikkballapur,GEN,IN,156
Karnataka-S10,Kolar-SC,S10-28,816475,812149,642572,613779,14,0,77.21,210021,1244662,Karnataka,Kolar,SC,IN,157
Kerala-S11,Kasaragod-GEN,S11-1,651754,704213,507338,588600,9,0,80.65,40438,1095634,Kerala,Kasaragod,GEN,IN,158
Kerala-S11,Kannur-GEN,S11-2,590697,664543,484739,562999,8,5,83.21,94559,1050014,Kerala,Kannur,GEN,IN,159
Kerala-S11,Vadakara-GEN,S11-3,586699,668091,464900,574460,12,0,82.67,84663,1062204,Kerala,Vadakara,GEN,IN,160
Kerala-S11,Wayanad-GEN,S11-4,670255,684612,529017,560841,19,1,80.33,431770,1090042,Kerala,Wayanad,GEN,IN,161
Kerala-S11,Kozhikode-GEN,S11-5,633679,675817,511159,557674,13,1,81.65,85225,1072720,Kerala,Kozhikode,GEN,IN,162
Kerala-S11,Malappuram-GEN,S11-6,684475,679216,496251,536683,8,0,75.49,260153,1030138,Kerala,Malappuram,GEN,IN,163
Kerala-S11,Ponnani-GEN,S11-7,662055,683322,466320,549916,9,3,74.98,193273,1011034,Kerala,Ponnani,GEN,IN,164
Kerala-S11,Palakkad-GEN,S11-8,642339,675510,494457,531513,9,0,77.72,11637,1021584,Kerala,Palakkad,GEN,IN,165
Kerala-S11,Alathur -SC,S11-9,617906,645752,493218,522650,5,1,80.42,158968,1011021,Kerala,Alathur,SC,IN,166
Kerala-S11,Thrissur-GEN,S11-10,641271,693194,488577,551691,8,0,77.92,93633,1037616,Kerala,Thrissur,GEN,IN,167
Kerala-S11,Chalakudy-GEN,S11-11,597488,629983,482031,506846,11,2,80.49,132274,982646,Kerala,Chalakudy,GEN,IN,168
Kerala-S11,Ernakulam-GEN,S11-12,606425,637917,480105,485690,11,1,77.63,169153,961825,Kerala,Ernakulam,GEN,IN,169
Kerala-S11,Idukki-GEN,S11-13,597546,605061,466073,451489,7,1,76.34,171053,913980,Kerala,Idukki,GEN,IN,170
Kerala-S11,Kottayam-GEN,S11-14,589563,614889,456617,451084,7,0,75.44,106259,903148,Kerala,Kottayam,GEN,IN,171
Kerala-S11,Alappuzha-GEN,S11-15,651183,699219,519872,562454,11,1,80.25,10474,1082624,Kerala,Alappuzha,GEN,IN,172
Kerala-S11,Mavelikkara -SC,S11-16,614853,684532,449785,514082,9,1,74.23,61138,965281,Kerala,Mavelikkara,SC,IN,173
Kerala-S11,Pathanamthitta-GEN,S11-17,659716,716426,490901,531776,6,2,74.24,44243,1023201,Kerala,Pathanamthitta,GEN,IN,174
Kerala-S11,Kollam-GEN,S11-18,616081,675338,445672,515612,8,1,74.66,148856,962105,Kerala,Kollam,GEN,IN,175
Kerala-S11,Attingal-GEN,S11-19,628348,717208,458911,540333,16,3,74.4,38247,999203,Kerala,Attingal,GEN,IN,176
Kerala-S11,Thiruvananthapuram-GEN,S11-20,660165,706382,490233,513476,16,1,73.66,99989,1005600,Kerala,Thiruvananthapuram,GEN,IN,177
Madhya Pradesh-S12,MORENA-GEN,S12-1,990117,838480,646523,486232,23,2,61.89,113341,1135192,Madhya Pradesh,MORENA,GEN,IN,178
Madhya Pradesh-S12,BHIND-SC,S12-2,955813,796812,561487,393454,17,1,54.42,199885,956057,Madhya Pradesh,BHIND,SC,IN,179
Madhya Pradesh-S12,GWALIOR-GEN,S12-3,1074855,920798,621943,570556,16,2,59.78,146842,1190753,Madhya Pradesh,GWALIOR,GEN,IN,180
Madhya Pradesh-S12,GUNA-GEN,S12-4,888153,786479,658166,514437,12,1,70.32,125549,1166020,Madhya Pradesh,GUNA,GEN,IN,181
